Station ID,Station Name,Data Source,Latitude (deg),Longitude (deg),Observation ID,Observation Date,Day of Year (day),Month (month),City,State/Province,County,Number,Amphibian Common Names,Life Stage,Malformation Type,Side of Body,Malformation Location,Malformation Description,Station Address,Photos,Media,Documents
1755154,"Duluth, MN N Tischer Rd and Valet Rd",Malformation Nation Observations,46.923500,-92.005650,8746605,1997-07-30,Jul-30,July,Duluth,Minnesota,St. Louis,8,Spring Peeper (Subspecies - Northern),Don't know,,,NA,,, , , 
1755154,"Duluth, MN N Tischer Rd and Valet Rd",Malformation Nation Observations,46.923500,-92.005650,8746604,1997-07-30,Jul-30,July,Duluth,Minnesota,St. Louis,4,Mink Frog,Don't know,,,NA,,, , , 
1755154,"Duluth, MN N Tischer Rd and Valet Rd",Malformation Nation Observations,46.923500,-92.005650,8746603,1997-07-30,Jul-30,July,Duluth,Minnesota,St. Louis,1,Wood Frog,Don't know,,,NA,,, , , 
1755155,"Duluth, MN Residence on Eagle lake Rd and Cooper Rd",Malformation Nation Observations,46.875990,-92.066770,8746602,1997-07-30,Jul-30,July,,Minnesota,St. Louis,3,Mink Frog,Don't know,,,NA,,, , , 
1755155,"Duluth, MN Residence on Eagle lake Rd and Cooper Rd",Malformation Nation Observations,46.875990,-92.066770,8746601,1997-07-30,Jul-30,July,,Minnesota,St. Louis,13,American Toad (Subspecies - Eastern),Don't know,,,NA,,, , , 
1755156,"Dunbarton, NH Bridle Pond",Malformation Nation Observations,43.098278,-71.616476,8746600,1998-07-30,Jul-30,July,Dunbarton,New Hampshire,Merrimack,,Pickerel Frog,Adult,Abnormal Not Specified,,Leg,R hind limb,, , , 
1755156,"Dunbarton, NH Bridle Pond",Malformation Nation Observations,43.098278,-71.616476,8746599,1998-07-30,Jul-30,July,Dunbarton,New Hampshire,Merrimack,73,Pickerel Frog,Don't know,,,NA,,, , , 
1755157,"Dunbarton, NH Gorham Pond",Malformation Nation Observations,43.070568,-71.631081,8746594,1998-07-27,Jul-27,July,Dunbarton,New Hampshire,Merrimack,61,Green Frog (Subspecies - Northern),Don't know,,,NA,,, , , 
1755157,"Dunbarton, NH Gorham Pond",Malformation Nation Observations,43.070568,-71.631081,8746595,1998-07-27,Jul-27,July,Dunbarton,New Hampshire,Merrimack,25,Pickerel Frog,Don't know,,,NA,,, , , 
1755157,"Dunbarton, NH Gorham Pond",Malformation Nation Observations,43.070568,-71.631081,8746593,1998-07-27,Jul-27,July,Dunbarton,New Hampshire,Merrimack,5,Wood Frog,Don't know,,,NA,,, , , 
1755157,"Dunbarton, NH Gorham Pond",Malformation Nation Observations,43.070568,-71.631081,8746596,1998-07-27,Jul-27,July,Dunbarton,New Hampshire,Merrimack,5,Spring Peeper (Subspecies - Northern),Don't know,,,NA,,, , , 
1755157,"Dunbarton, NH Gorham Pond",Malformation Nation Observations,43.070568,-71.631081,8746598,1998-07-27,Jul-27,July,Dunbarton,New Hampshire,Merrimack,,American Bullfrog,Adult,Abnormal Not Specified,,Leg,R hind limb,, , , 
1755157,"Dunbarton, NH Gorham Pond",Malformation Nation Observations,43.070568,-71.631081,8746597,1998-07-27,Jul-27,July,Dunbarton,New Hampshire,Merrimack,47,American Bullfrog,Don't know,,,NA,,, , , 
1755158,"Dunkirk, WI",Malformation Nation Observations,42.880925,-89.209853,8746592,1997-12-31,Dec-31,December,Butte,Wisconsin,Dane,,Northern Leopard Frog,Adult,Missing or partially missing limbs,Right,Leg,missing right hind limb,, , , 
1755159,"E.E. Wilson Game Mgmt Area, OR, Andy's Pond",Malformation Nation Observations,44.706494,-123.209280,8746589,1999-07-12,Jul-12,July,,Oregon,Benton,,Western Long-toed Salamander,Don't know,Abnormal Not Specified,,NA,"Only larvae: MDF, MDH",, , , 
1755159,"E.E. Wilson Game Mgmt Area, OR, Andy's Pond",Malformation Nation Observations,44.706494,-123.209280,8746570,1999-07-12,Jul-12,July,,Oregon,Benton,,Pacific Treefrog Complex,Don't know,Abnormal Not Specified,,NA,"Only larvae or newly metamorphosed: abnormal eye, abnormal mandible, MDF, MDH, incomplete hind limb(s), MHLS, MHLC, skin web, abnormal hind limb(s),, extra hind digit(s)",, , , 
1755159,"E.E. Wilson Game Mgmt Area, OR, Andy's Pond",Malformation Nation Observations,44.706494,-123.209280,8746541,1999-07-12,Jul-12,July,,Oregon,Benton,,Pacific Treefrog Complex,Don't know,Abnormal Not Specified,,NA,"Only larvae or newly metamorphosed: abnormal eye, abnormal mandible, MDF, MDH, incomplete hind limb(s), MHLS, MHLC, skin web, abnormal hind limb(s),, extra hind digit(s)",, , , 
1755159,"E.E. Wilson Game Mgmt Area, OR, Andy's Pond",Malformation Nation Observations,44.706494,-123.209280,8746510,1999-07-12,Jul-12,July,,Oregon,Benton,,Pacific Treefrog Complex,Don't know,Abnormal Not Specified,,NA,"Only larvae or newly metamorphosed: abnormal eye, abnormal mandible, MDF, MDH, incomplete hind limb(s), MHLS, MHLC, skin web, abnormal hind limb(s),, extra hind digit(s)",, , , 
1755159,"E.E. Wilson Game Mgmt Area, OR, Andy's Pond",Malformation Nation Observations,44.706494,-123.209280,8746526,1999-07-12,Jul-12,July,,Oregon,Benton,,Pacific Treefrog Complex,Don't know,Abnormal Not Specified,,NA,"Only larvae or newly metamorphosed: abnormal eye, abnormal mandible, MDF, MDH, incomplete hind limb(s), MHLS, MHLC, skin web, abnormal hind limb(s),, extra hind digit(s)",, , , 
1755159,"E.E. Wilson Game Mgmt Area, OR, Andy's Pond",Malformation Nation Observations,44.706494,-123.209280,8746505,1999-07-12,Jul-12,July,,Oregon,Benton,,Pacific Treefrog Complex,Don't know,Abnormal Not Specified,,NA,"Only larvae or newly metamorphosed: abnormal eye, abnormal mandible, MDF, MDH, incomplete hind limb(s), MHLS, MHLC, skin web, abnormal hind limb(s),, extra hind digit(s)",, , , 
1755159,"E.E. Wilson Game Mgmt Area, OR, Andy's Pond",Malformation Nation Observations,44.706494,-123.209280,8746506,1999-07-12,Jul-12,July,,Oregon,Benton,,Pacific Treefrog Complex,Don't know,Abnormal Not Specified,,NA,"Only larvae or newly metamorphosed: abnormal eye, abnormal mandible, MDF, MDH, incomplete hind limb(s), MHLS, MHLC, skin web, abnormal hind limb(s),, extra hind digit(s)",, , , 
1755159,"E.E. Wilson Game Mgmt Area, OR, Andy's Pond",Malformation Nation Observations,44.706494,-123.209280,8746503,1999-07-12,Jul-12,July,,Oregon,Benton,,Pacific Treefrog Complex,Don't know,Abnormal Not Specified,,NA,"Only larvae or newly metamorphosed: abnormal eye, abnormal mandible, MDF, MDH, incomplete hind limb(s), MHLS, MHLC, skin web, abnormal hind limb(s),, extra hind digit(s)",, , , 
1755159,"E.E. Wilson Game Mgmt Area, OR, Andy's Pond",Malformation Nation Observations,44.706494,-123.209280,8746525,1999-07-12,Jul-12,July,,Oregon,Benton,,Pacific Treefrog Complex,Don't know,Abnormal Not Specified,,NA,"Only larvae or newly metamorphosed: abnormal eye, abnormal mandible, MDF, MDH, incomplete hind limb(s), MHLS, MHLC, skin web, abnormal hind limb(s),, extra hind digit(s)",, , , 
1755159,"E.E. Wilson Game Mgmt Area, OR, Andy's Pond",Malformation Nation Observations,44.706494,-123.209280,8746527,1999-07-12,Jul-12,July,,Oregon,Benton,,Pacific Treefrog Complex,Don't know,Abnormal Not Specified,,NA,"Only larvae or newly metamorphosed: abnormal eye, abnormal mandible, MDF, MDH, incomplete hind limb(s), MHLS, MHLC, skin web, abnormal hind limb(s),, extra hind digit(s)",, , , 
1755159,"E.E. Wilson Game Mgmt Area, OR, Andy's Pond",Malformation Nation Observations,44.706494,-123.209280,8746500,1999-07-12,Jul-12,July,,Oregon,Benton,,Pacific Treefrog Complex,Don't know,Abnormal Not Specified,,NA,"Only larvae or newly metamorphosed: abnormal eye, abnormal mandible, MDF, MDH, incomplete hind limb(s), MHLS, MHLC, skin web, abnormal hind limb(s),, extra hind digit(s)",, , , 
1755159,"E.E. Wilson Game Mgmt Area, OR, Andy's Pond",Malformation Nation Observations,44.706494,-123.209280,8746577,1999-07-12,Jul-12,July,,Oregon,Benton,,Pacific Treefrog Complex,Don't know,Abnormal Not Specified,,NA,"Only larvae or newly metamorphosed: abnormal eye, abnormal mandible, MDF, MDH, incomplete hind limb(s), MHLS, MHLC, skin web, abnormal hind limb(s),, extra hind digit(s)",, , , 
1755159,"E.E. Wilson Game Mgmt Area, OR, Andy's Pond",Malformation Nation Observations,44.706494,-123.209280,8746497,1999-07-12,Jul-12,July,,Oregon,Benton,,Pacific Treefrog Complex,Don't know,Abnormal Not Specified,,NA,"Only larvae or newly metamorphosed: abnormal eye, abnormal mandible, MDF, MDH, incomplete hind limb(s), MHLS, MHLC, skin web, abnormal hind limb(s),, extra hind digit(s)",, , , 
